"ID","Track","Year","Title_or_Project","Venue_or_Status","Core_Contribution","Evidence","Code_and_License","Grid_Relevance","Primary_URL"
"1","L2O","2010","Learning Fast Approximations of Sparse Coding (LISTA)","ICML 2010","Unrolls ISTA into a trainable fixed-depth network","A","Multiple reproductions; no single canonical modern package","Medium: template for learned iterative solvers","https://icml.cc/2010/papers/449.pdf"
"2","Neural CO","2015","Pointer Networks","NeurIPS 2015","Variable-length pointer output for permutations and combinatorial structures","A+","Legacy implementations","Low/Medium: foundational representation","https://arxiv.org/abs/1506.03134"
"3","L2O","2016","Learning to Learn by Gradient Descent by Gradient Descent","NeurIPS 2016","LSTM learned update rule","A","Legacy research code","Low for mathematical programming; foundational for meta-optimization","https://arxiv.org/abs/1606.04474"
"4","Neural CO","2016","Neural Combinatorial Optimization with Reinforcement Learning","ICLR 2017","RL-trained constructive policy for TSP and related problems","A","Legacy TensorFlow implementations","Low/Medium: conceptual basis for dispatch policies","https://arxiv.org/abs/1611.09940"
"5","Learning-enhanced solver","2016","Learning to Branch in Mixed Integer Programming","AAAI 2016","Learning-to-rank approximation of strong branching using handcrafted features","A","No maintained official implementation located","High: baseline for SCUC branching","https://doi.org/10.1609/aaai.v30i1.10080"
"6","Differentiable optimization","2017","OptNet: Differentiable Optimization as a Layer","ICML 2017","QP layer differentiated through KKT conditions","A+","qpth; open research code","High for differentiable ED/DCOPF/QP","https://proceedings.mlr.press/v70/amos17a.html"
"7","Decision-focused learning","2017","Task-based End-to-end Model Learning in Stochastic Optimization","NeurIPS 2017","Trains predictors through downstream stochastic optimization; includes energy use cases","A","Research code","Very high: scheduling and storage precedent","https://proceedings.neurips.cc/paper/2017/hash/3fc2c60b5782f641f76bcefc39fb2392-Abstract.html"
"8","Neural CO","2017","Learning Combinatorial Optimization Algorithms over Graphs","NeurIPS 2017","Structure2Vec plus DQN learns greedy graph heuristics","A+","graph_comb_opt; public code","Medium: topology-aware policy foundation","https://arxiv.org/abs/1704.01665"
"9","Neural CO","2018","Reinforcement Learning for Solving the Vehicle Routing Problem","NeurIPS 2018","End-to-end RL for dynamic routing inputs","A","Public reproductions","Low for grid; high historical impact","https://papers.nips.cc/paper/8190-reinforcement-learning-for-solving-the-vehicle-routing-problem"
"10","Neural CO","2019","Attention, Learn to Solve Routing Problems","ICLR 2019","Transformer-style attention model with rollout baseline","A+","attention-learn-to-route; MIT-style public research repo","Low/Medium: reusable neural search ideas","https://arxiv.org/abs/1803.08475"
"11","Learning-enhanced solver","2019","Exact Combinatorial Optimization with Graph Convolutional Neural Networks","NeurIPS 2019","MILP variable-constraint bipartite GNN for branching","A+","learn2branch; public code","Very high: generic MILP/SCUC representation","https://proceedings.neurips.cc/paper/2019/hash/d14c2267d848abeb81fd590f371d39bd-Abstract.html"
"12","Decision-focused learning","2019","Melding the Data-Decisions Pipeline","AAAI 2019","Decision-focused learning for combinatorial decisions","A","Research code","High: prediction-to-dispatch objective alignment","https://doi.org/10.1609/aaai.v33i01.33011658"
"13","Differentiable optimization","2019","Differentiable Convex Optimization Layers","NeurIPS 2019","Disciplined parametrized programming and CVXPYlayers","A+","cvxpylayers; Apache-2.0","Very high for convex grid layers","https://proceedings.neurips.cc/paper/2019/hash/9ce3c52fc54362e22053399d3181c638-Abstract.html"
"14","Differentiable optimization","2019","SATNet","ICML 2019","Differentiable SDP/MAXSAT layer","A+","SATNet; public code","Low/Medium: discrete constraint layer concepts","https://proceedings.mlr.press/v97/wang19e.html"
"15","Differentiable optimization","2020","Differentiation of Blackbox Combinatorial Solvers","ICLR 2020","Surrogate backward pass around unmodified discrete solvers","A+","blackbox-backprop; public code","High for solver-in-loop training","https://arxiv.org/abs/1912.02175"
"16","Differentiable optimization","2020","Learning with Differentiable Perturbed Optimizers","NeurIPS 2020","Random perturbation smooths discrete argmin","A","Google Research implementation","High for decision-focused discrete dispatch","https://proceedings.neurips.cc/paper_files/paper/2020/hash/6bb56208f672af0dd65451f869fedfd9-Abstract.html"
"17","Learning-enhanced solver","2020","Solving Mixed Integer Programs Using Neural Networks","arXiv 2020","Neural Diving and Neural Branching at industrial scale","B+","DeepMind neural_mip_solving code; public","Very high for SCUC warm start and branching","https://arxiv.org/abs/2012.13349"
"18","Learning-enhanced solver","2020","Hybrid Models for Learning to Branch","NeurIPS 2020","GNN root representation plus low-cost CPU MLP decisions","A+","Hybrid-learn2branch; public code","Very high: callback overhead lesson","https://proceedings.neurips.cc/paper_files/paper/2020/hash/d1e946f4e67db4b362ad23818a6fb78a-Abstract.html"
"19","Learning-enhanced solver","2020","A General Large Neighborhood Search Framework for Solving Integer Linear Programs","NeurIPS 2020","Learns destroy variables; solver repairs subproblem","A","Official implementation not clearly maintained","Very high for structured SCUC LNS","https://proceedings.neurips.cc/paper/2020/hash/e769e03a9d329b2e864b4bf4ff54ff39-Abstract.html"
"20","Learning-enhanced solver","2020","Reinforcement Learning for Integer Programming: Learning to Cut","ICML 2020","RL selects Gomory cuts in branch-and-cut","A","Partial research implementation","High for cut selection research","https://proceedings.mlr.press/v119/tang20a.html"
"21","Neural CO","2020","POMO","NeurIPS 2020","Multiple symmetric starts reduce policy-gradient variance","A+","POMO; public code","Medium: multi-solution symmetry concepts","https://arxiv.org/abs/2010.16011"
"22","Constrained neural proxy","2021","DC3: A Learning Method for Optimization with Hard Constraints","ICLR 2021","Differentiable equality completion and inequality correction","A+","locuslab/DC3; Apache-2.0","Very high: ACOPF benchmark","https://openreview.net/forum?id=V1ZHVxJ6dSS"
"23","Learning-enhanced solver","2022","Learning to Branch with Tree MDPs","NeurIPS 2022","Models branch-and-bound as a tree MDP","A","Research code","High for long-horizon branching","https://proceedings.neurips.cc/paper_files/paper/2022/hash/756d74cd58592849c904421e3b2ec7a4-Abstract-Conference.html"
"24","Learning-enhanced solver","2022","Learning to Compare Nodes in Branch and Bound","NeurIPS 2022","Siamese GNN for node ordering","A+","learn2comparenodes; public code","High for MIP search control","https://proceedings.neurips.cc/paper_files/paper/2022/hash/cf5bb18807a3e9cfaaa51e667e18f807-Abstract-Conference.html"
"25","Learning-enhanced solver","2022","Learning to Cut by Looking Ahead","ICML 2022","Imitates expensive look-ahead cut improvement","A","Partial code","High for cut policy design","https://proceedings.mlr.press/v162/paulus22a.html"
"26","L2O","2022","Learning to Optimize: A Primer and a Benchmark","JMLR 2022","Taxonomy and Open-L2O benchmark; highlights OOD failures","A+","Open-L2O; public code","Medium/High for numerical research design","https://jmlr.org/papers/v23/21-0308.html"
"27","Benchmark","2022","The ML4CO Competition: Results and Insights","PMLR 2022","Benchmarks primal, dual and configuration tasks on realistic MILPs","A+","Competition assets","High for experiment design","https://proceedings.mlr.press/v176/gasse22a.html"
"28","Learning-enhanced solver","2023","Learning to Configure Separators in Branch-and-Cut","NeurIPS 2023","Instance-level activation of SCIP separators","A","Public research code","Very high for safe SCUC acceleration","https://proceedings.neurips.cc/paper_files/paper/2023/hash/bcdec1c2d60f94a93b6e36f937aa0530-Abstract-Conference.html"
"29","Generative CO","2023","DIFUSCO","NeurIPS 2023","Graph diffusion solver for TSP and MIS","A+","DIFUSCO; MIT","Medium: candidate generation concepts","https://proceedings.neurips.cc/paper_files/paper/2023/hash/0ba520d93c3df592c83a611961314c98-Abstract-Conference.html"
"30","Decision-focused learning","2023","SurCo","ICML 2023","Learns linear surrogate costs for nonlinear combinatorial objectives","A","Research implementation","Medium/High for nonlinear grid decisions","https://proceedings.mlr.press/v202/ferber23a.html"
"31","Neural CO","2023","Neural Simulated Annealing","AISTATS 2023","RL learns proposal distributions for simulated annealing","A","Research implementation","Medium for safe metaheuristics","https://proceedings.mlr.press/v206/correia23a.html"
"32","Learning-enhanced solver","2024","L2P-MIP: Learning to Presolve","ICLR 2024","Instance-specific presolve configuration","A","L2P-MIP repository available","Very high for fast SCUC result","https://openreview.net/forum?id=McfYbKnpT8"
"33","Learning-enhanced solver","2024","Symb4CO","ICLR 2024","Discovers compact symbolic branching expressions deployable on CPU","A+","L2O-Symb4CO; public code","Very high for interpretable low-overhead policies","https://proceedings.iclr.cc/paper_files/paper/2024/hash/da669dfd3c36c93905a17ddba01eef06-Abstract-Conference.html"
"34","Learning-enhanced solver","2024","Learning to Remove Cuts in Integer Linear Programming","ICML 2024","Learns cut deletion, complementing cut selection","A","Experimental code","High for cut-pool control","https://proceedings.mlr.press/v235/puigdemont24a.html"
"35","Learning-enhanced solver","2024","SymILO","NeurIPS 2024","Accounts for symmetry and multiple optimal labels during training","A","Author code","High for SCUC equivalent schedules","https://proceedings.neurips.cc/paper_files/paper/2024/hash/2b94c01ad2b79432f9499501f8754aee-Abstract-Conference.html"
"36","Learning-enhanced solver","2024","Contrastive Predict-and-Search for MILPs (ConPaS)","ICML 2024","Contrasts good and infeasible/poor solutions, then fixes confident variables","A","Research implementation","Very high for safe partial fixing","https://proceedings.mlr.press/v235/huang24f.html"
"37","Generative CO","2024","Unsupervised Diffusion for Neural Combinatorial Optimization","ICML 2024","Trains diffusion without optimal labels using reverse-KL upper bound","A+","DIffUCO; public code","Medium: data-free but compute-heavy","https://proceedings.mlr.press/v235/sanokowski24a.html"
"38","Learning-enhanced solver","2024","ILP-FORMER","UAI 2024","Sequence-to-multilabel transformer for LNS variable selection","A","Research code availability limited","High for structured LNS","https://proceedings.mlr.press/v244/kong24a.html"
"39","L2O","2024","IPM-LSTM","NeurIPS 2024","Learns components of IPM steps and warm-starts IPOPT","A","No mature package confirmed","High for OPF numerical warm starts","https://proceedings.neurips.cc/paper_files/paper/2024/hash/de0da9c42ee713f2ceaeed7bc40c522d-Abstract-Conference.html"
"40","L2O","2024","Neural Krylov Iteration","NeurIPS 2024","Learns invariant subspace information to accelerate Krylov solvers","A","Research code","Very high for repeated KKT systems","https://proceedings.neurips.cc/paper_files/paper/2024/hash/e88870ec82f2469b0ddf32c817920c68-Abstract-Conference.html"
"41","Learning-enhanced solver","2025","Apollo-MILP","ICLR 2025","Prediction, trust-region correction and confidence fixing","A","No stable official repository confirmed","Very high for certifiable warm start","https://proceedings.iclr.cc/paper_files/paper/2025/hash/ebcdb4d0372ebbdd0e6a7dce9662b6b4-Abstract-Conference.html"
"42","Foundation model","2025","Towards Foundation Models for Mixed Integer Linear Programming","ICLR 2025","MILP-Evolve data synthesis and cross-task pretraining","A/B+","Partial assets through Microsoft OptiGuide","High: model/data design precedent","https://proceedings.iclr.cc/paper_files/paper/2025/hash/dc594b8712f5d3ea1904092d74739d25-Abstract-Conference.html"
"43","LLM algorithm discovery","2025","Large Language Model-driven LNS for Large-Scale MILP","ICML 2025","Dual-layer self-evolution discovers neighborhood-selection strategies","A","Software linked by PMLR","Very high for SCUC LNS","https://proceedings.mlr.press/v267/ye25j.html"
"44","LLM/Agentic OR","2023","OptiGuide","arXiv 2023; Microsoft prototype","LLM translates what-if requests into optimization code and explanations","C+","Microsoft OptiGuide; MIT with additional data restrictions","Medium/High for grid operator assistant","https://arxiv.org/abs/2307.03875"
"45","LLM/Agentic OR","2024","OptiMUS","ICML 2024","Modular variables/objective/constraints/code/testing/repair agent","A+","OptiMUS; MIT; NLP4LP data CC BY-NC","Very high for Grid-Space baseline","https://openreview.net/forum?id=YT1dtdLvSN"
"46","LLM/Agentic OR","2024","Chain-of-Experts","ICLR 2024","Conductor coordinates specialized OR agents with reflection","A","No maintained official code located","High for multi-role modeling","https://openreview.net/forum?id=HobyL1B9CZ"
"47","LLM/Agentic OR","2024","ORLM","Operations Research 2025","OR-Instruct, IndustryOR and 7B/8B specialized OR models","A+","Cardinal-Operations/ORLM; Apache-2.0; partial training data","Very high for local grid modeling model","https://doi.org/10.1287/opre.2024.1233"
"48","LLM/Agentic OR","2025","OptiBench Meets ReSocratic","ICLR 2025","End-to-end optimization benchmark and reverse synthetic training data","A+","ReSocratic; Apache-2.0","High for benchmark methodology","https://openreview.net/forum?id=fsDZwS49uY"
"49","LLM/Agentic OR","2025","LLMOPT","ICLR 2025","Five-element universal formulation, multi-instruction tuning and self-correction","A","Public repository without clear LICENSE observed","High for heterogeneous grid models","https://openreview.net/forum?id=9OMvtboTJg"
"50","LLM/Agentic OR","2025","DRoC","ICLR 2025","Decomposed retrieval of constraints for complex vehicle routing","A","Code status limited","Medium: constraint retrieval pattern","https://openreview.net/forum?id=s9zoyICZ4k"
"51","LLM/Agentic OR","2025","OptMATH","ICML 2025","53 generator families and large bidirectional synthesis for LP/MILP/IP/NLP/SOCP","A+","optsuite/OptMATH; Apache-2.0","Very high for domain-data generation","https://openreview.net/forum?id=9P5e6iE4WK"
"52","LLM/Agentic OR","2025","Solver-Informed Reinforcement Learning (SIRL)","NeurIPS 2025","Solver-verified rewards over execution, feasibility, objective and LP artifact","B+","Code repo no clear LICENSE; model card MIT","Very high for physics/solver verifier training","https://arxiv.org/abs/2505.11792"
"53","LLM/Agentic OR","2025","StepORLM","ICLR 2026","Co-evolving policy and generative process reward model","B+","Public code/model; license unclear","High for process supervision","https://arxiv.org/abs/2509.22558"
"54","LLM/Agentic OR","2025","OptiHive","AAAI 2026","Generates multiple solvers/tests and statistically selects under noisy evaluation","B+/A+","OptiHive repository public","High for heterogeneous agent portfolios","https://arxiv.org/abs/2508.02503"
"55","LLM/Agentic OR","2026","Draft-and-Audit Reinforcement Learning","ICML 2026","One policy drafts then audits missing constraints, numbers and variable types","B","No official code located","Very high for Grid model auditing","https://openreview.net/forum?id=3rzJANFrMp"
"56","LLM/Agentic OR","2026","OPT-Engine","ICML 2026","Controllable-complexity LP/MILP benchmark; exposes constraint-modeling bottleneck","B+","OPTEngine repository; no clear LICENSE","High for complexity-stratified GridBench","https://arxiv.org/abs/2601.19924"
"57","LLM/Agentic OR","2026","AutoOR","arXiv 2026","Solver-verified reverse generation, GRPO, curriculum and active clarification","C","No public code located","High for incomplete grid requirements","https://arxiv.org/abs/2604.16804"
"58","LLM/Agentic OR","2026","Agora-Opt","arXiv 2026","Decentralized multi-team debate with solution/debug/debate memory","C+","Public repository without clear LICENSE; benchmark-memory audit risk","High architectural relevance; scores require clean-room replication","https://arxiv.org/abs/2604.25847"
"59","LLM/Agentic OR","2026","OR-Space","arXiv 2026","100 industrial topologies and Build/Revise/Explain workspaces","C+","Public code; data CC BY-NC","Very high template for Grid-Space","https://arxiv.org/abs/2605.28158"
"60","LLM algorithm discovery","2024","Optimization by PROmpting (OPRO)","ICLR 2024","LLM proposes candidate solutions using history and objective values","A+","google-deepmind/opro; Apache-2.0","Medium: portfolio/configuration idea","https://openreview.net/forum?id=Bb4VGOWELI"
"61","LLM algorithm discovery","2023","FunSearch","Nature 2023","Distributed evolutionary program search with executable evaluators","A+","Simplified reference code; Apache-2.0","High for safe heuristic discovery","https://www.nature.com/articles/s41586-023-06924-6"
"62","LLM algorithm discovery","2024","Eureka","ICLR 2024","LLM evolves executable reward code for RL","A+","Eureka; MIT","Medium: reward/cut-policy discovery pattern","https://openreview.net/forum?id=IEduRUO55F"
"63","LLM algorithm discovery","2024","Evolution of Heuristics (EoH)","ICML 2024 Oral","Co-evolves natural-language thoughts and executable heuristic code","A+","EOH; MIT","Very high for SCUC heuristic discovery","https://proceedings.mlr.press/v235/liu24bs.html"
"64","LLM algorithm discovery","2024","ReEvo","NeurIPS 2024","Reflective evolution uses verbal gradients for hyper-heuristics","A+","ai4co/reevo; MIT","Very high for grid heuristic search","https://proceedings.neurips.cc/paper_files/paper/2024/hash/4ced59d480e07d290b6f29fc8798f195-Abstract-Conference.html"
"65","LLM algorithm discovery","2025","LLaMEA","IEEE TEVC 2025","Iteratively evolves complete metaheuristic classes","A+","XAI-liacs/LLaMEA; MIT","High for solver portfolio and decomposition","https://arxiv.org/abs/2405.20132"
"66","LLM algorithm discovery","2025","MCTS-AHD","ICML 2025","Maintains heuristic candidates in an MCTS search tree","A+","MCTS-AHD repository; MIT","High but evaluation-intensive","https://arxiv.org/abs/2501.08603"
"67","LLM algorithm discovery","2025","AlphaEvolve","DeepMind white paper","Large-scale multi-model evolutionary coding agent","C","Production system not open","High inspiration; low reproducibility","https://deepmind.google/blog/alphaevolve-a-gemini-powered-coding-agent-for-designing-advanced-algorithms/"
"68","LLM algorithm discovery","2025","ShinkaEvolve","ICLR 2026","Explore/exploit parent sampling, novelty filtering and multi-LLM bandit","A+","SakanaAI/ShinkaEvolve; Apache-2.0","High for multi-fidelity grid search","https://arxiv.org/abs/2509.19349"
"69","Learning-enhanced solver","2026","LLM4Branch","ICML 2026","LLM generates executable branching skeleton and zeroth-order tunes parameters","B+","LLM4Branch repository public","Very high for low-data SCUC branching","https://openreview.net/forum?id=YIzUTHEvG7"
"70","Generative MILP","2026","FMIP","ICLR 2026 Poster","Joint continuous-integer flow matching with feasibility/objective guidance","B+","Lhongpei/FMIP; MIT","Very high for SCUC candidate generation","https://openreview.net/forum?id=kyvW6S0u3z"
"71","Learning-enhanced solver","2026","Constraint Matters","ICLR 2026 Poster","Constraint-side MILP reduction using predicted critical tight constraints","B+","Supplementary code/assets","Very high for SCUC constraint reduction","https://openreview.net/forum?id=vqNg2Vl8o1"
"72","Theory","2026","Provably Data-driven Lagrangian Relaxation for MILP","ICML 2026","Statistical learning guarantees for learned Lagrangian multipliers","A/B+","Theory-focused","Very high: unit commitment explicitly relevant","https://openreview.net/forum?id=OwLuqetJuB"
"73","Generative CO","2026","CycFlow","arXiv 2026","Geometry-aware deterministic flow for Euclidean TSP","C","No mature code confirmed","Low for grid; useful scaling lesson","https://arxiv.org/abs/2602.10794"
"74","Grid neural proxy","2019","DeepOPF for DC-OPF","arXiv 2019","DNN predicts generation then reconstructs/projection enforces structure","C/B","No official maintained code located","High historical grid baseline","https://arxiv.org/abs/1905.04479"
"75","Grid neural proxy","2020","DeepOPF for AC-OPF","arXiv 2020","Predicts independent variables and completes AC power flow","C/B","Paper-focused","High but local/nonconvex and fixed-topology limits","https://arxiv.org/abs/2007.01002"
"76","Grid neural proxy","2023","DeepOPF+ / Preventive Learning","ICLR 2023 notable","Calibrates constraints to obtain feasibility guarantees under stated conditions","A","Supplementary research assets","Very high for feasibility-aware DCOPF","https://openreview.net/forum?id=QVcDQJdFTG"
"77","Grid warm start","2026","WARP","arXiv 2026","Topology GNN predicts full primal-dual-barrier IPM warm state","C","No official repository located","Very high; corrects misleading flat-start baselines","https://arxiv.org/abs/2605.05728"
"78","Grid foundation model","2026","LUMINA","ICLR 2026 Workshop / preprint","Topology-transferable ACOPF foundation-model design principles","C+","Stable code not confirmed","Very high long-term relevance","https://openreview.net/forum?id=XgkgLDv7tN"
"79","Grid foundation model","2026","Towards Systematic Generalization for Power Grid Optimization","arXiv 2026","Shared graph backbone for ACOPF and SCUC across topologies","C","No stable open reproduction confirmed","Very high long-term relevance","https://arxiv.org/abs/2605.02026"
"80","Grid learning-enhanced solver","2019","Data-driven Constraint Screening for Unit Commitment","arXiv/peer-reviewed line","Predicts inactive line constraints and restores mistakes by constraint generation","A/B","Research implementation varies","Very high; safe and fast-result direction","https://arxiv.org/abs/1907.04694"
"81","Grid learning-enhanced solver","2021","Machine-Learning-Assisted Security-Constrained Unit Commitment","arXiv 2021","Simple classifiers fix variables/remove constraints then exact solver completes","B","Research code not standardized","Very high; strong simple baseline","https://arxiv.org/abs/2111.09824"
"82","Grid benchmark","2025","PGLearn","arXiv 2025","Open AC/DC/SOC OPF data generation, primal/dual labels and standard metrics","B+","PGLearn.jl and ML4OPF; MIT","Very high common data substrate","https://arxiv.org/abs/2505.22825"
"83","Grid benchmark","2025","GridFM DataKit","Active open project","PF/OPF generation with load, N-k, cost and admittance perturbations","B+","Apache-2.0; active releases","Very high recommended data base","https://github.com/gridfm/gridfm-datakit"
"84","Accelerator-native","2023","cuPDLP-C","arXiv 2023","GPU primal-dual LP solver","B","MIT","Very high for DCOPF/UC LP relaxation","https://github.com/COPT-Public/cuPDLP-C"
"85","Accelerator-native","2025","cuPDLPx","arXiv 2025","Restarted Halpern-PDHG with NVIDIA CUDA and AMD ROCm","B+","Apache-2.0; active","Very high for large LP/grid subproblems","https://github.com/MIT-Lu-Lab/cuPDLPx"
"86","AI-compatible solver substrate","2024","MPAX","arXiv 2024","JAX differentiable, batched, multi-device LP/QP solver","B+","MIT","Very high for batch DCOPF and DFL","https://github.com/MIT-Lu-Lab/MPAX"
"87","Accelerator-native","2026","PDHCG-II","arXiv 2026","GPU convex QP using PDHG plus conjugate gradient; sparse/low-rank Hessian","B","Apache-2.0","Very high for ED/DCOPF-QP/storage","https://github.com/Lhongpei/PDHCG-II"
"88","Accelerator-native","2025","PDCS","arXiv 2025","GPU primal-dual conic solver","B-/C+","Apache-2.0; early","Very high for SOCP-OPF and robust grid models","https://github.com/ZikaiXiong/PDCS"
"89","Accelerator-native","2026","NVIDIA cuOpt","v26.06","GPU LP/QP/VRP; MILP/QCQP/SOCP beta","B/A","Apache-2.0","High as GPU baseline; MIP proof maturity limited","https://github.com/NVIDIA/cuopt"
"90","Accelerator-native","2023","MadNLP","Active Julia project","GPU-capable condensed-space interior-point nonlinear solver","A/B","MIT","Very high for ACOPF; local optimum only","https://github.com/MadNLP/MadNLP.jl"
"91","Accelerator-native grid","2025","ExaModelsPower","arXiv 2025 / active project","GPU AC/DC OPF, fixed-UC SCOPF, multiperiod and storage models","B+","MIT","Very high direct open grid stack","https://github.com/MadNLP/ExaModelsPower.jl"
"92","Grid accelerator","2026","Rapid Concurrent GPU-CPU Solvers for Scalable Unit Commitment","arXiv 2026","Concurrent GPU/CPU portfolio; presolve flips all cases to CPU winner","C","No public implementation; closed Gurobi beta","Very high motivation for learned routing","https://arxiv.org/abs/2607.03627"
"93","Open solver","2026","HiGHS","Mature active project","LP simplex/IPM, MIP, QP and evolving GPU first-order support","A+","MIT","Essential open CPU baseline and fallback","https://github.com/ERGO-Code/HiGHS"
"94","Grid solver/benchmark","2026","UnitCommitment.jl","Mature active project","Extensible SCUC with DC/AC, N-1, stochastic variants and independent checker","A+","BSD-3-Clause","Best recommended SCUC research base","https://github.com/ANL-CEEESA/UnitCommitment.jl"
"95","Grid modeling","2026","PowerModels.jl and PGLib-OPF","Mature active projects","AC/DC/convex OPF formulations and versioned benchmark cases","A+","BSD and CC Attribution","Essential model/checker baseline","https://github.com/lanl-ansi/PowerModels.jl"
"96","Grid closed-loop benchmark","2026","Grid2Op","Mature active project","Sequential grid operations, topology actions, outages and Gym/RL interfaces","A+","MPL-2.0","Very high for closed-loop stress tests; not static solver benchmark","https://github.com/Grid2op/grid2op"
"97","Decision-focused toolkit","2024","PyEPO","Mathematical Programming Computation 2024","Unified SPO+, blackbox and perturbation predict-then-optimize methods","A+","MIT","Very high for DFL grid prototypes","https://github.com/khalil-research/PyEPO"
"98","Learning-enhanced solver toolkit","2020","Ecole","Active open project","Gym-like environments and data interfaces around SCIP","A+","Open-source research library","High for generic MILP/SCUC experiments","https://github.com/ds4dm/ecole"
"99","Critical benchmark","2022","What’s Wrong with Deep Learning in Tree Search for CO","ICLR 2022","Shows a published GNN tree-search component can be replaced by random values; classical solvers competitive","A+","Open benchmark suite","Very high methodological relevance","https://openreview.net/forum?id=mk0HzdqY7i1"
"100","Grid benchmark","2026","PGLIB-UC","IEEE PES benchmark library","Versioned unit-commitment MILP instances with reference implementations","A+","Public benchmark; check exact data license/version","Essential for reproducible UC research","https://github.com/power-grid-lib/pglib-uc"
